PYROEXPORT ROOT
RootFile, Data2208.root
HistTitle, hvt_2
XAxis, 
YAxis, 
NBins, 8192
DATA
lower bin edge, bin content, bin error 
168, 4, 2
169, 2, 1.41421
170, 2, 1.41421
171, 1, 1
172, 2, 1.41421
173, 6, 2.44949
174, 2, 1.41421
175, 2, 1.41421
176, 8, 2.82843
177, 3, 1.73205
178, 3, 1.73205
179, 5, 2.23607
180, 5, 2.23607
181, 7, 2.64575
182, 1, 1
183, 3, 1.73205
184, 4, 2
185, 2, 1.41421
186, 6, 2.44949
187, 4, 2
188, 6, 2.44949
189, 4, 2
190, 8, 2.82843
191, 5, 2.23607
192, 5, 2.23607
193, 7, 2.64575
194, 3, 1.73205
195, 4, 2
196, 1, 1
197, 4, 2
198, 7, 2.64575
199, 5, 2.23607
200, 4, 2
201, 8, 2.82843
202, 9, 3
203, 3, 1.73205
204, 2, 1.41421
205, 7, 2.64575
206, 2, 1.41421
207, 7, 2.64575
208, 7, 2.64575
209, 1, 1
210, 7, 2.64575
211, 7, 2.64575
212, 6, 2.44949
213, 4, 2
214, 2, 1.41421
215, 3, 1.73205
216, 6, 2.44949
217, 3, 1.73205
218, 4, 2
219, 2, 1.41421
220, 3, 1.73205
221, 3, 1.73205
222, 4, 2
223, 7, 2.64575
224, 1, 1
225, 4, 2
226, 6, 2.44949
227, 5, 2.23607
228, 4, 2
229, 3, 1.73205
230, 6, 2.44949
231, 4, 2
232, 3, 1.73205
233, 3, 1.73205
234, 6, 2.44949
235, 1, 1
236, 3, 1.73205
237, 4, 2
238, 4, 2
239, 4, 2
240, 3, 1.73205
241, 7, 2.64575
242, 6, 2.44949
243, 5, 2.23607
244, 4, 2
245, 5, 2.23607
246, 4, 2
247, 7, 2.64575
248, 2, 1.41421
249, 7, 2.64575
250, 5, 2.23607
251, 3, 1.73205
252, 2, 1.41421
253, 4, 2
254, 9, 3
255, 7, 2.64575
256, 2, 1.41421
257, 6, 2.44949
258, 4, 2
259, 3, 1.73205
260, 5, 2.23607
261, 9, 3
262, 6, 2.44949
263, 3, 1.73205
264, 3, 1.73205
265, 9, 3
266, 7, 2.64575
267, 6, 2.44949
268, 4, 2
269, 3, 1.73205
270, 1, 1
271, 5, 2.23607
272, 4, 2
273, 3, 1.73205
274, 3, 1.73205
275, 5, 2.23607
276, 4, 2
277, 6, 2.44949
278, 9, 3
279, 4, 2
280, 3, 1.73205
281, 1, 1
282, 6, 2.44949
283, 7, 2.64575
284, 6, 2.44949
285, 5, 2.23607
286, 7, 2.64575
287, 4, 2
288, 4, 2
289, 2, 1.41421
290, 3, 1.73205
291, 7, 2.64575
292, 1, 1
293, 6, 2.44949
294, 5, 2.23607
295, 4, 2
296, 2, 1.41421
297, 6, 2.44949
298, 8, 2.82843
299, 10, 3.16228
300, 3, 1.73205
301, 3, 1.73205
302, 4, 2
303, 6, 2.44949
304, 5, 2.23607
305, 2, 1.41421
306, 6, 2.44949
307, 5, 2.23607
308, 0, 0
309, 4, 2
310, 6, 2.44949
311, 3, 1.73205
312, 4, 2
313, 0, 0
314, 8, 2.82843
315, 5, 2.23607
316, 3, 1.73205
317, 3, 1.73205
318, 2, 1.41421
319, 3, 1.73205
320, 4, 2
321, 6, 2.44949
322, 9, 3
323, 3, 1.73205
324, 6, 2.44949
325, 2, 1.41421
326, 2, 1.41421
327, 7, 2.64575
328, 7, 2.64575
329, 5, 2.23607
330, 4, 2
331, 5, 2.23607
332, 4, 2
333, 5, 2.23607
334, 8, 2.82843
335, 1, 1
336, 6, 2.44949
337, 5, 2.23607
338, 2, 1.41421
339, 6, 2.44949
340, 3, 1.73205
341, 4, 2
342, 5, 2.23607
343, 7, 2.64575
344, 4, 2
345, 4, 2
346, 4, 2
347, 2, 1.41421
348, 4, 2
349, 4, 2
350, 4, 2
351, 4, 2
352, 3, 1.73205
353, 4, 2
354, 4, 2
355, 5, 2.23607
356, 4, 2
357, 4, 2
358, 9, 3
359, 3, 1.73205
360, 8, 2.82843
361, 4, 2
362, 2, 1.41421
363, 2, 1.41421
364, 4, 2
365, 2, 1.41421
366, 4, 2
367, 7, 2.64575
368, 6, 2.44949
369, 7, 2.64575
370, 3, 1.73205
371, 7, 2.64575
372, 6, 2.44949
373, 4, 2
374, 1, 1
375, 5, 2.23607
376, 3, 1.73205
377, 7, 2.64575
378, 0, 0
379, 10, 3.16228
380, 5, 2.23607
381, 10, 3.16228
382, 9, 3
383, 6, 2.44949
384, 3, 1.73205
385, 6, 2.44949
386, 5, 2.23607
387, 3, 1.73205
388, 5, 2.23607
389, 3, 1.73205
390, 9, 3
391, 5, 2.23607
392, 1, 1
393, 4, 2
394, 3, 1.73205
395, 7, 2.64575
396, 4, 2
397, 4, 2
398, 3, 1.73205
399, 4, 2
400, 2, 1.41421
401, 3, 1.73205
402, 4, 2
403, 9, 3
404, 4, 2
405, 4, 2
406, 5, 2.23607
407, 3, 1.73205
408, 7, 2.64575
409, 1, 1
410, 1, 1
411, 2, 1.41421
412, 6, 2.44949
413, 5, 2.23607
414, 5, 2.23607
415, 1, 1
416, 6, 2.44949
417, 7, 2.64575
418, 4, 2
419, 7, 2.64575
420, 6, 2.44949
421, 4, 2
422, 6, 2.44949
423, 4, 2
424, 6, 2.44949
425, 3, 1.73205
426, 4, 2
427, 8, 2.82843
428, 6, 2.44949
429, 2, 1.41421
430, 8, 2.82843
431, 4, 2
432, 2, 1.41421
433, 5, 2.23607
434, 3, 1.73205
435, 6, 2.44949
436, 9, 3
437, 1, 1
438, 4, 2
439, 4, 2
440, 7, 2.64575
441, 5, 2.23607
442, 6, 2.44949
443, 7, 2.64575
444, 9, 3
445, 2, 1.41421
446, 5, 2.23607
447, 5, 2.23607
448, 2, 1.41421
449, 2, 1.41421
450, 6, 2.44949
451, 6, 2.44949
452, 3, 1.73205
453, 7, 2.64575
454, 3, 1.73205
455, 4, 2
456, 6, 2.44949
457, 5, 2.23607
458, 5, 2.23607
459, 2, 1.41421
460, 4, 2
461, 7, 2.64575
462, 4, 2
463, 3, 1.73205
464, 9, 3
465, 8, 2.82843
466, 7, 2.64575
467, 4, 2
468, 7, 2.64575
469, 5, 2.23607
470, 2, 1.41421
471, 5, 2.23607
472, 7, 2.64575
473, 4, 2
474, 4, 2
475, 5, 2.23607
476, 7, 2.64575
477, 8, 2.82843
478, 12, 3.4641
479, 6, 2.44949
480, 7, 2.64575
481, 8, 2.82843
482, 11, 3.31662
483, 8, 2.82843
484, 5, 2.23607
485, 8, 2.82843
486, 7, 2.64575
487, 5, 2.23607
488, 13, 3.60555
489, 6, 2.44949
490, 9, 3
491, 9, 3
492, 15, 3.87298
493, 14, 3.74166
494, 10, 3.16228
495, 15, 3.87298
496, 15, 3.87298
497, 12, 3.4641
498, 17, 4.12311
499, 16, 4
500, 15, 3.87298
501, 12, 3.4641
502, 11, 3.31662
503, 7, 2.64575
504, 8, 2.82843
505, 10, 3.16228
506, 13, 3.60555
507, 16, 4
508, 16, 4
509, 13, 3.60555
510, 21, 4.58258
511, 21, 4.58258
512, 15, 3.87298
513, 14, 3.74166
514, 20, 4.47214
515, 17, 4.12311
516, 13, 3.60555
517, 11, 3.31662
518, 19, 4.3589
519, 19, 4.3589
520, 33, 5.74456
521, 13, 3.60555
522, 21, 4.58258
523, 18, 4.24264
524, 29, 5.38516
525, 29, 5.38516
526, 21, 4.58258
527, 15, 3.87298
528, 21, 4.58258
529, 28, 5.2915
530, 21, 4.58258
531, 22, 4.69042
532, 27, 5.19615
533, 23, 4.79583
534, 19, 4.3589
535, 29, 5.38516
536, 24, 4.89898
537, 32, 5.65685
538, 35, 5.91608
539, 30, 5.47723
540, 22, 4.69042
541, 27, 5.19615
542, 30, 5.47723
543, 24, 4.89898
544, 28, 5.2915
545, 35, 5.91608
546, 34, 5.83095
547, 32, 5.65685
548, 27, 5.19615
549, 35, 5.91608
550, 25, 5
551, 32, 5.65685
552, 25, 5
553, 35, 5.91608
554, 27, 5.19615
555, 29, 5.38516
556, 38, 6.16441
557, 31, 5.56776
558, 40, 6.32456
559, 37, 6.08276
560, 35, 5.91608
561, 40, 6.32456
562, 44, 6.63325
563, 53, 7.28011
564, 33, 5.74456
565, 34, 5.83095
566, 40, 6.32456
567, 20, 4.47214
568, 38, 6.16441
569, 45, 6.7082
570, 44, 6.63325
571, 33, 5.74456
572, 36, 6
573, 34, 5.83095
574, 39, 6.245
575, 31, 5.56776
576, 30, 5.47723
577, 18, 4.24264
578, 35, 5.91608
579, 26, 5.09902
580, 26, 5.09902
581, 21, 4.58258
582, 16, 4
583, 21, 4.58258
584, 18, 4.24264
585, 9, 3
586, 19, 4.3589
587, 9, 3
588, 6, 2.44949
589, 5, 2.23607
590, 6, 2.44949
591, 9, 3
592, 8, 2.82843
593, 4, 2
594, 4, 2
595, 5, 2.23607
596, 5, 2.23607
597, 6, 2.44949
598, 4, 2
599, 2, 1.41421
600, 5, 2.23607
601, 6, 2.44949
602, 4, 2
603, 7, 2.64575
604, 4, 2
605, 2, 1.41421
606, 4, 2
607, 4, 2
608, 6, 2.44949
609, 7, 2.64575
610, 2, 1.41421
611, 7, 2.64575
612, 2, 1.41421
613, 6, 2.44949
614, 8, 2.82843
615, 3, 1.73205
616, 2, 1.41421
617, 2, 1.41421
618, 8, 2.82843
619, 1, 1
620, 3, 1.73205
621, 8, 2.82843
622, 3, 1.73205
623, 6, 2.44949
624, 6, 2.44949
625, 4, 2
626, 6, 2.44949
627, 4, 2
628, 3, 1.73205
629, 3, 1.73205
630, 4, 2
631, 7, 2.64575
632, 6, 2.44949
633, 6, 2.44949
634, 4, 2
635, 5, 2.23607
636, 5, 2.23607
637, 6, 2.44949
638, 3, 1.73205
639, 4, 2
640, 3, 1.73205
641, 4, 2
642, 3, 1.73205
643, 3, 1.73205
644, 1, 1
645, 1, 1
646, 3, 1.73205
647, 3, 1.73205
648, 3, 1.73205
649, 4, 2
650, 0, 0
651, 5, 2.23607
652, 3, 1.73205
653, 4, 2
654, 3, 1.73205
655, 2, 1.41421
656, 3, 1.73205
657, 3, 1.73205
658, 3, 1.73205
659, 5, 2.23607
660, 5, 2.23607
661, 4, 2
662, 2, 1.41421
663, 3, 1.73205
664, 7, 2.64575
665, 5, 2.23607
666, 2, 1.41421
667, 6, 2.44949
668, 4, 2
669, 3, 1.73205
670, 8, 2.82843
671, 8, 2.82843
672, 6, 2.44949
673, 8, 2.82843
674, 6, 2.44949
675, 7, 2.64575
676, 4, 2
677, 11, 3.31662
678, 12, 3.4641
679, 14, 3.74166
680, 15, 3.87298
681, 18, 4.24264
682, 27, 5.19615
683, 30, 5.47723
684, 42, 6.48074
685, 42, 6.48074
686, 36, 6
687, 45, 6.7082
688, 50, 7.07107
689, 67, 8.18535
690, 61, 7.81025
691, 95, 9.74679
692, 145, 12.0416
693, 156, 12.49
694, 196, 14
695, 185, 13.6015
696, 190, 13.784
697, 175, 13.2288
698, 148, 12.1655
699, 124, 11.1355
700, 77, 8.77496
701, 73, 8.544
702, 60, 7.74597
703, 50, 7.07107
704, 28, 5.2915
705, 21, 4.58258
706, 22, 4.69042
707, 14, 3.74166
708, 7, 2.64575
709, 6, 2.44949
710, 7, 2.64575
711, 6, 2.44949
712, 6, 2.44949
713, 7, 2.64575
714, 2, 1.41421
715, 5, 2.23607
716, 2, 1.41421
717, 3, 1.73205
718, 3, 1.73205
719, 5, 2.23607
720, 4, 2
721, 6, 2.44949
722, 2, 1.41421
723, 6, 2.44949
724, 7, 2.64575
725, 9, 3
726, 4, 2
727, 1, 1
728, 4, 2
729, 2, 1.41421
730, 4, 2
731, 4, 2
732, 7, 2.64575
733, 2, 1.41421
734, 6, 2.44949
735, 4, 2
736, 5, 2.23607
737, 2, 1.41421
738, 5, 2.23607
739, 3, 1.73205
740, 5, 2.23607
741, 9, 3
742, 4, 2
743, 1, 1
744, 3, 1.73205
745, 7, 2.64575
746, 1, 1
747, 3, 1.73205
748, 6, 2.44949
749, 5, 2.23607
750, 5, 2.23607
751, 3, 1.73205
752, 5, 2.23607
753, 5, 2.23607
754, 2, 1.41421
755, 3, 1.73205
756, 4, 2
757, 5, 2.23607
758, 4, 2
759, 3, 1.73205
760, 5, 2.23607
761, 3, 1.73205
762, 5, 2.23607
763, 4, 2
764, 4, 2
765, 6, 2.44949
766, 2, 1.41421
767, 2, 1.41421
768, 5, 2.23607
769, 4, 2
770, 6, 2.44949
771, 2, 1.41421
772, 6, 2.44949
773, 7, 2.64575
774, 2, 1.41421
775, 4, 2
776, 5, 2.23607
777, 2, 1.41421
778, 3, 1.73205
779, 2, 1.41421
780, 1, 1
781, 3, 1.73205
782, 3, 1.73205
783, 7, 2.64575
784, 3, 1.73205
785, 1, 1
786, 5, 2.23607
787, 2, 1.41421
788, 4, 2
789, 2, 1.41421
790, 4, 2
791, 1, 1
792, 2, 1.41421
793, 2, 1.41421
794, 5, 2.23607
795, 4, 2
796, 4, 2
797, 4, 2
798, 3, 1.73205
799, 4, 2
800, 3, 1.73205
801, 3, 1.73205
802, 3, 1.73205
803, 6, 2.44949
804, 7, 2.64575
805, 7, 2.64575
806, 6, 2.44949
807, 7, 2.64575
808, 3, 1.73205
809, 5, 2.23607
810, 3, 1.73205
811, 3, 1.73205
812, 6, 2.44949
813, 1, 1
814, 3, 1.73205
815, 2, 1.41421
816, 4, 2
817, 2, 1.41421
818, 0, 0
819, 5, 2.23607
820, 5, 2.23607
821, 1, 1
822, 3, 1.73205
823, 6, 2.44949
824, 4, 2
825, 6, 2.44949
826, 3, 1.73205
827, 5, 2.23607
828, 5, 2.23607
829, 5, 2.23607
830, 9, 3
831, 4, 2
832, 8, 2.82843
833, 6, 2.44949
834, 4, 2
835, 3, 1.73205
836, 3, 1.73205
837, 2, 1.41421
838, 5, 2.23607
839, 8, 2.82843
840, 4, 2
841, 5, 2.23607
842, 4, 2
843, 1, 1
844, 6, 2.44949
845, 6, 2.44949
846, 4, 2
847, 3, 1.73205
848, 3, 1.73205
849, 2, 1.41421
850, 5, 2.23607
851, 4, 2
852, 6, 2.44949
853, 6, 2.44949
854, 2, 1.41421
855, 8, 2.82843
856, 0, 0
857, 3, 1.73205
858, 4, 2
859, 5, 2.23607
860, 2, 1.41421
861, 6, 2.44949
862, 4, 2
863, 9, 3
864, 3, 1.73205
865, 3, 1.73205
866, 6, 2.44949
867, 6, 2.44949
868, 3, 1.73205
869, 1, 1
870, 4, 2
871, 6, 2.44949
872, 2, 1.41421
873, 6, 2.44949
874, 8, 2.82843
875, 4, 2
876, 3, 1.73205
877, 2, 1.41421
878, 6, 2.44949
879, 2, 1.41421
880, 2, 1.41421
881, 6, 2.44949
882, 1, 1
883, 3, 1.73205
884, 6, 2.44949
885, 4, 2
886, 4, 2
887, 4, 2
888, 5, 2.23607
889, 5, 2.23607
890, 8, 2.82843
891, 6, 2.44949
892, 8, 2.82843
893, 1, 1
894, 3, 1.73205
895, 3, 1.73205
896, 6, 2.44949
897, 2, 1.41421
898, 1, 1
899, 4, 2
900, 4, 2
901, 5, 2.23607
902, 3, 1.73205
903, 4, 2
904, 3, 1.73205
905, 6, 2.44949
906, 5, 2.23607
907, 9, 3
908, 7, 2.64575
909, 9, 3
910, 3, 1.73205
911, 2, 1.41421
912, 4, 2
913, 2, 1.41421
914, 5, 2.23607
915, 4, 2
916, 7, 2.64575
917, 2, 1.41421
918, 5, 2.23607
919, 5, 2.23607
920, 4, 2
921, 4, 2
922, 3, 1.73205
923, 3, 1.73205
924, 1, 1
925, 7, 2.64575
926, 6, 2.44949
927, 2, 1.41421
928, 3, 1.73205
929, 4, 2
930, 3, 1.73205
931, 5, 2.23607
932, 6, 2.44949
933, 1, 1
934, 6, 2.44949
935, 4, 2
936, 5, 2.23607
